NUM	upA	upk	downA	downk	upg	downg	StO2	CHb	Ccol	thick
23_1	2162	0.80	305377	1.53	0.95	0.885	0.80	5.34	0.13	0.0431
24_1	22558	1.17	312955	1.61	0.95	0.885	0.58	1.76	0.10	0.0422
28_2	3984	0.81	26924	1.05	0.95	0.885	0.68	4.16	0.48	0.0289
29_2	10044	1.00	62507	1.24	0.95	0.885	0.62	5.86	0.48	0.0299
39_2	219.0	0.29	75823	1.36	0.95	0.885	0.50	0.79	0.46	0.0181
40_2	1001	0.64	75059	1.42	0.95	0.885	0.70	3.86	0.10	0.0347
41_2	79814	1.41	15936	1.13	0.95	0.885	0.76	4.45	0.29	0.0335
42_2	194.0	0.35	583833	1.63	0.95	0.885	0.74	3.30	0.50	0.0309
45_1	153.0	0.27	14297	1.02	0.95	0.885	0.78	2.61	0.50	0.0271
45_2	9068	0.96	49558	1.18	0.95	0.885	0.66	2.26	0.50	0.0304
46_1	19602	1.03	19133	0.98	0.95	0.885	0.64	4.16	0.30	0.0240
46_2	26800	1.10	49800	1.10	0.95	0.885	0.62	4.57	0.50	0.0284
47_1	124153	1.41	132318	1.42	0.95	0.885	0.72	2.83	0.50	0.0326
47_2	24972	1.12	7794	1.02	0.95	0.885	0.74	1.81	0.10	0.0299
48_1	10427	0.95	1363	0.67	0.95	0.885	1.00	6.00	0.10	0.0276
48_2	13112	1.05	80909	1.27	0.95	0.885	0.82	6.00	0.50	0.0347
53_1	173.0	0.27	26847	1.22	0.95	0.885	0.76	2.24	0.50	0.0174
54_1	100.0	0.22	68428	1.30	0.95	0.885	0.78	3.91	0.50	0.0194
55_1	201.0	0.30	2073	0.74	0.95	0.885	0.84	3.86	0.10	0.0166
56_1	26400	1.33	11698	1.07	0.95	0.885	0.66	1.22	0.47	0.0346
57_1	1273	0.56	2920	0.84	0.95	0.885	0.92	0.40	0.12	0.0126
58_1	353.0	0.48	835078	1.80	0.95	0.885	0.50	2.58	0.10	0.0260
59_1	3199	0.90	19132	1.15	0.95	0.885	0.82	3.97	0.10	0.0406
60_1	251.0	0.39	72691	1.31	0.95	0.885	0.84	4.64	0.50	0.0280
49_1	175375	1.65	28922	1.21	0.95	0.885	0.90	4.77	0.10	0.0549
49_2	38577	1.36	31307	1.22	0.95	0.885	1.00	5.12	0.10	0.0541
50_1	9012	0.99	78358	1.28	0.95	0.885	0.68	5.81	0.50	0.0347
50_2	2848	0.82	246157	1.46	0.95	0.885	0.72	5.27	0.50	0.0407
71_1	272	0.38	1570	0.76	0.95	0.885	0.50	6.00	0.10	0.0324
71_2	872	0.60	15241	1.08	0.95	0.885	0.76	6.00	0.10	0.0456
72_1	345	0.28	13025	1.04	0.95	0.885	0.68	0.19	0.49	0.0148
72_2	2308	0.59	10883	1.00	0.95	0.885	0.71	0.14	0.10	0.0121
73_1	532	0.47	8934	0.98	0.95	0.885	0.72	6.00	0.50	0.0324
73_2	131261	0.96	135759	1.02	0.95	0.885	0.73	5.69	0.42	0.0454
74_1	2105	0.19	2898	0.48	0.95	0.885	0.74	0.22	0.10	0.177
74_2	617	0.52	2772	0.82	0.95	0.885	1.00	1.93	0.10	0.0427
75_1	141285	0.99	28881	0.88	0.95	0.885	0.62	5.98	0.18	0.0410
75_2	24457	1.18	2044	0.79	0.95	0.885	0.80	5.99	0.15	0.0502
76_1	562	0.47	224	0.40	0.95	0.885	0.98	3.62	0.10	0.0315
76_2	273	0.25	118	0.32	0.95	0.885	0.50	0.27	0.10	0.0111
77_1	3011	0.86	1020	0.66	0.95	0.885	0.74	6.00	0.10	0.0457
77_2	616	0.60	6203	0.91	0.95	0.885	0.80	5.99	0.15	0.0502
78_1	98538	0.88	6923	0.71	0.95	0.885	1.00	1.25	0.11	0.0511
78_2	5553	0.78	575	0.60	0.95	0.885	1.00	0.10	0.11	0.0129
drs重fit
NUM	upA	upk	downA	downk	upg	downg	StO2	CHb	Ccol	thick
50x_1	77212	1.35	112411	1.33	0.95	0.885	0.66	5.54	0.49	0.0344
72x_1	379	0.30	10795	1.01	0.95	0.885	0.50	0.19	0.50	0.0149
73x_1	115	0.23	24185	1.15	0.95	0.885	0.78	6.00	0.10	0.0342
74x_1	116	0.16	176	0.38	0.95	0.885	0.64	0.18	0.10	0.0143
75x_1	10653	1.02	1753	0.78	0.95	0.885	0.62	6.00	0.10	0.0407
77x_1	543	0.58	244	0.45	0.95	0.885	0.74	6.00	0.10	0.0481
78x_1	7910	0.93	135	0.43	0.95	0.885	1.00	1.17	0.12	0.0511
20180110追加
NUM	upA	upk	downA	downk	upg	downg	StO2	CHb	Ccol	thick
18_2	8837	0.91	133843	1.34	0.95	0.885	0.76	2.41	0.10	0.0354
21_2	176779	1.50	847747	1.72	0.95	0.885	0.60	2.72	0.10	0.0134
22_2	5374	0.87	54952	1.19	0.95	0.885	0.70	2.52	0.50	0.0371
24_2	20912	1.13	126775	1.48	0.95	0.885	0.64	1.65	0.10	0.0418
56_2	114788	1.58	10424	1.06	0.95	0.885	0.70	1.38	0.50	0.0410
57_2	573	0.39	5109	0.94	0.95	0.885	1.00	0.34	0.10	0.0100
